#,籤號,等級,宮位,詩曰一,詩曰二,詩意,解曰,故事,故事內容,家宅,自身,求財,交易,婚姻,六甲,行人,田蠶,六畜,尋人,訟詞,移徙,失物,疾病,山墳
11,第十一籤,上籤,寅宮,"欲求好事喜非常
爭相姻親只暫忙
畢竟到頭成好事
貴人接引貴人鄉","欲求勝事可非常
爭奈親姻日暫忙
到頭竟必成中箭
貴人指引貴人鄉",此卦因禍得福之象。凡事營謀吉利也。,有意興變。到底安然。若問用事。只近貴人。,劉先生入贅東吳,劉備佔領了荊州，力量逐漸壯大。後來，孫權因想討還借給劉備的南郡沒有得逞，便採用大將周瑜的計謀，騙劉備到東吳來娶孫權的妹妹為妻，乘機把他扣下當人質，藉以討還南郡。蜀營裡的人都知道孫權和周瑜「過江招親」的邀約必然有詐。諸葛亮知是周瑜之計，但仍要劉備答應這項婚事。同時，他安排趙雲陪同前往，並將三個裝有妙計的錦囊交與趙雲，教他一到南徐，開第一個；住到年終，開第二個；臨到危急無路之時，開第三個：內有神出鬼沒之計，可保主公回家。建安十四年（209年）十月，劉備在趙雲等人的陪同下，去東吳的南徐完婚。剛到南徐時，趙雲打開了第一個錦囊。按其中計策，劉備先去拜見孫策的岳丈喬國老，告知要娶孫權之妹的事；並吩咐隨從士兵大造聲勢，讓全城人都知道劉備要與孫權之妹結婚。最終在吳國太做主之下，結果周瑜的聯姻之計弄假成真，孫權之妹真的成了劉備的夫人。劉備婚後，與孫夫人過著美滿的生活。到了年底，趙雲見劉備沒有回荊州去的意思，就打開第二個錦囊，並按其中寫的妙計，驚慌失措地對劉備說，諸葛亮派人來報，曹操五十萬精兵殺向荊州，請主公速回。到了元旦，夫妻二人給吳國太拜年，孫夫人代劉備向吳國太說：「夫主父母宗祖墳墓，俱在涿郡，晝夜傷感不已。今日想到江邊，望北遙祭，以表人子之情。須告母親得知。」於是，夫妻二人瞞著孫權和周瑜，在趙雲的護送下，往荊州而行。次日孫權得訊，急派兵前截後追。此時趙雲趕緊打開第三個錦囊，依計叫劉備請孫夫人解救。在孫夫人的責罵下，那兩名將領只得放行。正在這時，只見周瑜領水軍追來，孔明令船靠岸，周瑜也追到岸上。這時，關羽突然殺出，周瑜抵擋不住，急忙上船。這時，荊州士兵齊聲高叫：「周郎妙計安天下，賠了夫人又折兵。」周瑜大怒，昏倒在船上。,大吉,順利,有,成,合,男,未至,中平,中平,見,有理,旺,東方,禳星,吉
12,第十二籤,上籤,寅宮,"時臨否極泰富來
抖擻從君出暗埃
若欲卯寅佳信至
管教立志事和諧","否去泰來咫尺間
暫交君子出于山
若逢虎兔佳音信
立志忙中事即閑",此卦禍中有福之象。凡事先凶后吉也。,換麻得絲。擊人雙足。要見分明。因災得福。,包胥九頓泣秦庭,申包胥即戰國時代哭秦庭七日救昭王反楚的那位忠臣。原楚國太子太傅伍奢的兒子伍員（伍子胥）因與楚王有殺父之仇，故投奔吳國，員將出亡，謂申包胥曰「我必覆楚」，申包胥曰「我必存之」。及伍員率吳師伐楚入郢，楚昭王出亡。申包胥入秦乞師救援，秦起初不答應出兵，申包胥便跪秦庭而哭，七日不絕，秦哀公感其忠誠，於是出兵救楚，吳兵乃退，楚昭王復入郢，賞功臣，包胥逃而不受。,安,吉,有,宜遲,成,男,未回,利,慎吉,有信,吉,守舊,見,秋吉,吉
13,第十三籤,中籤,寅宮,"自小生身富貴家
眼前萬事總奢華
要君賜受金魚袋
四海傳名足可誇","自小生在富貴家
眼前萬物總奢華
蒙君賜紫金腰帶
四海聲名定可誇",此卦龍門得通之象。凡事有變大吉也。,囚人逢赦。病即安然。龍門得遇。名遍名都。,信陵君存趙辭封,信陵君魏無忌是魏王的弟弟，戰國時代有名的「四公子」之一。魏安釐王二十年，趙國被秦國圍攻，平原君趙勝懇託信陵君派兵救援，但魏王害怕秦國報復，故遲遲不敢真的發兵相助，雖然已派了晉鄙領軍，卻命令他不能輕舉妄動。信陵君門客侯贏獻計，因為他曾幫魏王所寵愛的侍妾如姬報得殺父之仇，因此可以替他盜取兵符，搶下晉鄙的兵權，以便援救趙國。同時，並介紹了個大力士朱亥，在晉鄙不願交出兵符的時候，一舉將他擊殺。信陵君取得兵符後，便成功地援救了趙國；但因為知道魏王會因而怨恨他，於戰事結束後即留在趙國。趙王感激信陵君相助，打算將五個城邑封給他，信陵君知道後，表現出一副驕傲自滿神情來，他的門生便勸他可以忘記自己對他人的恩德，卻不可忘記他人對自己的恩德，信陵君便改變過去的神情，表現出謙虛禮讓的態度。後來，趙王要封給信陵君的五個城邑也辭讓了，並留在趙國（這是我們補充的）。,祈福,祈福,秋冬吉,宜遲,合,女,祈保,中平,中平,見,有理,守舊,東方,安,吉
14,第十四籤,中籤,卯宮,"宛如仙鶴出樊籠
脫却羈縻處處通
南北東西無障碍
任君直上九霄中","宛如仙鶴出凡籠
脫得凡籠路路通
南北東西無阻隔
任君直上九霄宮",此卦仙鶴離籠之象。凡事先凶后吉也。,任意無虞。路有亨通。隨心自在。逍遙如人(神)。,管仲三薰三沐見齊桓,三國吳•韋昭注：「以香塗身曰釁，亦或為「『熏』。」齊桓公宣佈管仲為相國，命鮑叔牙親自督造拜相台，與隰朋親自商定了拜相的吉日良辰，宣布三天不上朝，不出門，不接見任何人，在寢宮用香料薰身，準備拜相之禮。拜相時，管仲叩首：「謝主公。」繼而起身道：「主公，臣有一事相求。」桓公：「相國請講。」「臣一貧如洗。俗話說，貧不能使富，相國之職，恐難負重任。」鮑叔牙一怔，忙扯管仲後衣角，管仲不理。桓公笑了：「寡人賜相國大齊一年市租，使相國成為齊國首富。」要成霸業，就要有忠心為主，又無野心的一流賢才，所謂良禽擇木而棲，君臣之間彼此考驗一下也是必要的。,不安,還願,合,合,合,男,見,秋利,損,阻,宜和,吉,東南,設送,吉
15,第十五籤,中籤,卯宮,"觸人口氣最難吞
忽有災危禍到門
卵破朝空無宿處
深為穩便把心存","行人跘曰氣難吞
忽有災事勿近前
巢破林鳥無所宿
可尋深處穩安身",此卦鳥鵲巢(離)林之象。凡事到底應心也。,若人得怨。何時可伸。好言不信。守舊待時。,商君不聽趙良言,"此刻商君之權勢已為全國之首，孝公多少亦要顧及商君，而商君之法刻薄寡恩，宗室貴族多怨。趙良見商君，商君欲收之為客，趙良婉拒，言若商君「不非武王(指先王聖賢)，則僕清終日正言而無誅。」商君應之：「夫子果肯終日正言，鞅之葯也。鞅將事子，子又何辭焉。」於是趙良比之於秦繆公書世之賢臣，五羖大夫百里傒。說百里傒雖為楚之鄙人，然繆公舉之於牛口之下，授之以國政；商君則因寵人景監以見孝公，非以名得其位。百里傒相秦施德諸侯，人戎來服，功名藏於府庫，德行施於後世；商君則不以百姓為事，殘傷民以駿刑，積怨畜禍，大舉出軍，外怒內怨，非所以為壽。於是，趙良勸說商君曰：「君之危若朝露，尚欲延年益壽乎？則何不歸十五都，灌園於鄙，勸秦王顯岩穴之少，養老存孤、敬父兄、序有功、尊有德，可以少安。君尚將貪商、於之富，寵秦國之教，畜百姓之怨，秦王一旦捐賓客而不立朝，秦國之所以收君者，豈其微哉。亡可翹足而待。」商君不從。五個月後，孝公卒，登基二十四年。惠文王太子駟即位。秦國怨商君者多，太子虔等告商君欲反秦，發吏捕之。商君逃亡，至關下,欲借宿，舍人不知其為商君，曰：「商君之法，收留客人而無驗其身，坐牢。」商君謂然而嘆：「嗟夫！為法之蔽一至此哉！」於是去魏。魏人怨其欺公子卬而破魏帥，言必歸商君於秦.。商君被逼復入秦，往商邑，發邑師以擊鄭國。結果寡不敵眾，死於澠池。後秦惠王車裂商君於彤，曰：「莫如商君反者！」斬草除根，滅商君之家。",先凶后吉,謹防,吉,成,阻滯,男,順,利,旺,見,有理,難（遠可）,難見,還願,吉
16,第十六籤,中籤,卯宮,"攢眉思慮暫時開
咫尺雲開見日來
宛如汙泥中片玉
良工一舉出塵埃","愁眉思慮暫時開
啟出雲霄喜自來
宛如糞土中藏玉
良工薦舉出塵埃",此卦陰陽和合之象。凡所謀皆吉也。,得處無失。損中有益。小人逢凶。君子順吉。,明神宗要還活海瑞,【摘要】明神宗於萬曆12年冬再次起用海瑞時，海瑞已經罷官退休一段時間。重新復出的海瑞已經70歲（死時7３歲)。海瑞是連張居正都不喜歡的清官，所以算是『超清官』。等張居正死，仍起用海瑞，還不准他退休，當然是希望讓海瑞給官員警惕。海瑞（1514－1587），明代著名回族政治家。海南瓊山（今海口）人，字汝賢，自號剛峰。他自幼攻讀詩書經傳，博學多才，嘉靖二十八年（1550年）中舉。初任福建南平教渝，後升浙江淳安和江西興國知縣，推行清丈、平賦稅，並屢平冤假錯案，打擊貪官污吏，深得民心。嘉靖四十五年任戶部雲南司主事，上書批評世宗迷信巫術，生活奢華，不理朝政等弊端，遭迫害入獄。世宗死後獲釋。隆慶三年（1569年）調升右僉都禦史，他一如既往，懲治貪官，打擊豪強，疏竣河道，修築水利工程，並推行一條鞭法，強令貪官污吏退田還民，遂有“海青天”之譽。後被排濟，革職閒居16年。萬曆十三年（1585年），重被起用，先後任南京吏部右侍郎、南京右僉都禦史，力主嚴懲貪官污吏，禁止循私受賄，兩年後病死于南京。海端一生居官清廉，剛直不阿，深得民眾的尊敬與愛戴。據說聽到他去世的噩耗時，當地的百姓如失親人，悲痛萬分。當他的靈柩從南京水路運回故鄉時，長江兩岸站滿了送行的人群。很多百姓甚至製作他的遺像，供在家�堙C關於他的傳說故事，民間更廣為流傳。後經文人墨客加工整理，編成了著名的長篇公案小說《海公大紅袍》和《海公小紅袍》，或編成戲劇《海瑞》、《海瑞罷官》、《海瑞上疏》等。海瑞和宋朝的包拯一樣，是中國歷史上清官的典範、正義的象徵。明神宗萬曆初年，張居正主持國政，也不喜歡海瑞，命令巡按禦史考察海瑞。禦史到山中審察，海瑞殺雞為黍相招待，房屋居舍冷清簡陋，禦史歎息而去。張居正懼怕海瑞嚴峻剛直，中外官員多次推薦，最終也不任用。萬曆十二年冬天，張居正已死，吏部擬用為左通政，皇帝向來器重海瑞名，給他以前職。明年正月，召為南京右金都禦史，在道上改為南京吏部右侍郎，海瑞當時年已七十二歲了。上疏言衰老垂死，願意效仿古人屍諫的意思，大略說：“陛下勵精圖治，而治平教化不至的原因，在於對貪官污吏刑罰太輕。諸臣都不能說到其原因，反而借待士有禮的說法，大家交口而文其非。待士有禮，而平民百姓則有什麼罪呢？”因而舉明太祖刑法剝人皮裝上草製成皮囊以及洪武三十年定律枉法達八十貫判處絞刑的規定，說現在應當用這樣的方法懲治貪污。其他謀劃時政，言語極為切實。只有勸皇帝用暴虐刑法，當時評議認為是錯誤的。禦史梅鵑柞彈劾海瑞。皇帝雖然認為海瑞言論有過失，然而清楚海瑞的忠誠，為此免去梅鵑柞俸祿。皇帝屢次要召用海瑞，主持國事的閣臣暗中阻止，於是任命為南京右都禦史。諸司向來苟且怠慢，海瑞身體力行矯正弊端。有的禦史偶爾陳列戲樂，海瑞要按明太祖法規給予杖刑。百官恐懼不安，都怕受其苦。提學禦史房寰恐怕被舉發糾正要先告狀，給事中鐘宇淳又從中慫恿，房寰再次上疏誹謗誣衊海瑞。海瑞也多次上疏請求退休，皇帝下詔慰留不允許。萬曆十五年，死于任上。海瑞沒有兒子。去世時，金都御史王用汲去照顧海瑞，只見用葛布製成的幃帳和破爛的竹器，有些是貧寒的文人也不願使用的，因而禁不住哭起來，湊錢為海瑞辦理喪事。海瑞的死訊傳出，南京的百姓因此罷市。海瑞的靈樞用船運回家鄉時，穿著白衣戴著白帽的人站滿了兩岸，祭奠哭拜的人百里不絕。朝廷追贈海瑞太子太保，諡號忠介。海瑞一生的治學，以剛為主，因而自號剛峰，天下稱為剛峰先生。曾經說：“要想天下清明安定，一定要實行井田，不得已而為限田，又不得已而實行均稅，尚可存古人的遺意。”因此自從做縣官直至巡撫，所到之處力行清丈，頒行一條鞭法。意圖主張在於有利於老百姓，而行事不能沒有偏差。明神宗後來常抱怨，難道世上已經沒有像海瑞一般的清官了嗎？這就是『明神宗要活海瑞』。,不利（漸安）,秋冬吉,成,成,成,虛驚（有寶）,至,祈福,平,見,不利,守舊,阻,作福,安
17,第十七籤,中籤（下籤）,卯宮,"莫聽閑言與是非
晨昏只好念阿彌
若將妄語為真實
畫餅如何療得飢","莫聽閑言說是非
晨昏只好念阿彌
若將狂話為真實
書餅如何止得饑",此卦書餅充饑之象。諸事多虛少實也。,心中不定。枉看經文。恰似書餅。食也難吞。,李斯遺藥殺韓非,李斯一面勸秦王要善用客卿（上『諫逐客書』反對秦王的逐客令），一面卻嫉妒並害死投秦之客卿韓非。一面偽裝與韓非友好，一面又設計讓韓非入獄，探監時故意不慎遺落毒藥給求死不能的韓非（其實韓非可能將被秦王下令釋放），故韓非自盡。chance 提醒您李斯害韓非有如龐涓害孫臏，這個故事的啟示是：您可能有個『很好的壞朋友』（夥伴），真是防人之心不可無。,祈福,順利（不順）,順利（甭想）,順利（且慢）,阻,安（空孕）,遲,宜早種,不利,見（難）,和（勿興）,守舊,不見,還願,吉
18,第十八籤,上籤,卯宮,"金烏西墜兔東臨
日夜循環亘古今
僧道得之無不利
工商農士各開心","金烏西墜兔東昇
日夜循環至古今
僧道得知無不利
士農工商各從心",此卦陰陽消長之象。凡事遂意之兆也。,心中無事。所作有功。如弓上箭。一發當空。,鬼谷子演課,這是說鬼谷子精通占卜，實際上並無特定故事，故採常見故事說明如下：鬼谷子，姓王名詡，春秋時人，上知天文下知地理，精通兵學與占卜之術，常入雲夢山采藥修道，因隱居清溪之鬼谷，故自稱鬼谷先生。門下收有孫臏與龐涓二名弟子，因一山難容二虎，孫臏與龐涓自相殘殺，人性大悲劇，後來又收蘇秦與張儀兩個學生，授以合縱連橫之術，蘇秦合縱以燕為主，張儀連橫以魏為主，一縱一橫展現情如兄弟的千古兵家大勝手，為鬼谷子其最傑出的弟子。孫臏，生卒年不詳，其本名不傳，因其受過臏刑(剔去膝蓋骨)，故名孫臏。是孫武的後人，生於齊國阿、鄄之間(今山東省陽谷縣阿城鎮；鄄城縣北一帶)。戰國時期齊國的軍師。著有《孫臏兵法》是中國古代著名的兵書之一，也是歷史上卓越的軍事家。孫臏和龐涓是同學，同拜鬼谷子先生為師一起學習兵法。同學期間，兩人情誼甚厚，並結拜為兄弟，孫臏稍年長為兄，龐涓為弟。有一年，當聽到魏國國君以優厚待遇招求天下賢才到魏國做將相時，龐涓再耐不住深山學藝的艱苦與寂寞，決定下山求取富貴。孫臏則覺得自己學業尚未精熟，還想進一步深造；另外，也捨不得離開老師，就表示先不出山。龐涓聽聞魏國招賢，鬼谷子知其意，令其摘山花一枝，為他卜算前程，當時當正逢炎炎的六月天，百花開過，沒有山花．龐涓左尋右找多時，只覓得草花一株，將它連根拔起，想道：「此花質弱身微，不為大器」，於是就將它棄擲於地，再找了一陣，也不見他花，只好將先前丟棄在地的草花撿起，藏在袖裡，回復鬼谷子說山中無花。鬼谷子問：「既沒有說明你袖中是為何物？」龐涓只好取出呈上，其花離土，又經日照，已半枯萎。鬼谷子說：「你可知此花之名否？乃馬兜鈴也．一開十二朵，為你榮盛之年數。採於鬼谷，見日而萎；鬼傍著萎，你此去之出身，必於魏國」，「但你不合見欺，他日必以欺人之事，還被人欺，不可不戒！吾有八字，汝當記取：「遇羊而榮，遇馬而瘁」。龐涓臨行前對孫臏說：我們弟兄有八拜之交，情同手足。這一去，如果我能獲得魏國重用，一定迎取孫兄，共同建功立業，若說話不算話將死於萬箭之下！不枉來一回人世。孫臏說：多謝厚情，何必立重誓？兩人緊握雙手灑淚而別。龐涓到了魏國，經人推薦入朝晉見魏惠王時，剛好遇到庖廚奉獻蒸羊於魏惠王正舉筷欲食，龐涓竊喜曰：「吾師言遇羊而榮，果然靈驗」，與魏惠王一番應對，魏王問他治國安邦、統兵打仗等方面的才能、見識。龐涓傾盡胸中所有，滔滔不絕地講了很長時間，並保證說：若用我為大將，則六國就可以在我的把握之中，我可以隨心所欲統兵橫行天下，戰必勝，攻必克，魏王於是任命龐涓為元帥執掌魏國兵權。龐涓確有本領，不久便侵入魏國周圍的諸侯小國打得落荒而逃，因連連得勝，使宋、魯、衛、鄭的國君紛紛來到魏朝賀，表示歸屬。不僅如此，龐涓還領兵打敗了當時很是強大的齊國軍隊，這一仗更提高了他的聲威與地位，魏國君臣百姓，都十分尊重他、崇拜他。而龐涓自己，也認為取得了蓋世大功，不時向人誇耀，大有普天之下、捨我其誰的氣勢了。這期間，孫臏卻仍在山中跟隨先生學習。他原來就比龐涓學得扎實，加上先生見他為人憨厚正派，有一天鬼谷子以房屋內有老鼠，吵得他難以入睡為由，要求學生們輪流到他的房中值夜趕老鼠。當天就由孫臏來為先生值夜，鬼谷子自枕中取出秘不傳人的兵書一卷，對他說：此乃你祖父當年親自謄抄給我的〈孫武子兵法十三篇〉，詳載行兵佈陣的秘訣，要他帶回臥房細細地研讀、領會，三天後先生要回該書，並逐篇盤問，孫臏對答如流，鬼谷子高興的說：你祖父沒死啊。孫臏問先生，此書為何沒有一併傳給龐涓及其他師兄弟，單傳給我？鬼谷子說：此書是你祖父的遺物，善用者能為天下利，不善用者將為天下害，龐涓心術不正，怎能傳授給他，此刻的孫臏才能更遠遠超過龐涓。後來有一天，墨子雲遊名山，路過鬼谷，入內探訪老友，見到孫臏就問他說，你學業已成，為何不下山求取功名富貴？孫臏答：龐涓下山投奔魏國時與我有約定，得意之日必當引薦我，我還在等候他的消息。墨子說，他現在魏國擔任大將，我為你去一趟魏國，探探他的意思。墨子前去魏國見了龐涓，龐涓自恃才能大言不慚，墨子見他毫無舉薦之意，就直接去見魏惠王。魏惠王久慕墨子大名，連忙下階而迎，問了他兵法，並請他留下為官，墨子對魏王說，吾乃山野之性，不適在朝為官，並向魏惠王推薦孫賓（當時孫賓仍用此名)是名大將之才。魏惠王問：孫賓與龐涓都是同學，兩人誰好？墨子說：孫賓乃孫武子之孫，縣隱居鬼谷，獨得他祖父的秘傳，我還不及他萬分之一，龐涓算什麼。墨子走後，魏惠王立即召來龐涓問清原尤。龐涓忌孫賓之才恐兵權旁落，但礙於惠王之令，修書信一封，魏國大臣禮節周全、禮物豐厚，代表魏王邀孫賓赴魏，迎取孫賓下山，但龐涓心裡已盤算將來計害孫賓。鬼谷子見信無一語問候師，嘆此刻薄寡恩之徒，不值計較，但龐涓生性驕妒，孫賓若去，豈能兩立？惟魏惠王使命鄭重，孫賓又行色匆匆，不便阻止，於是也叫孫賓取山花一枝，卜其休咎，當時為九月，孫賓見老師几案上的花瓶內有黃菊一枝，於是順手拔起呈師，即時復歸瓶內。鬼谷子斷曰：「此花見被殘折，不為完好，但性耐歲寒，經霜不壞，雖有殘害，不為大凶。且喜供養瓶中，受人愛重，瓶乃範金而成，鐘鼎之屬，終當威行霜雪，名勒鼎鐘矣！但此花再經提拔，恐一時不能得意，仍舊歸瓶，你的功名，終在故土，我為你增改其名，可圖進取」。遂將孫賓之賓字改為臏字，鬼谷子改孫賓為孫臏，明知他有刖足之事，但天機卻不可洩漏。孫臏於是秉承師命，隨魏國使臣下山。孫臏臨行前，鬼谷子授予一枚錦囊，交待在最危急時才可打開來看。尚有後續故事，詳見參考資料末尾連結。,安,吉,順,成,合,男,至,早種,欠利,至,有理,吉,遲見,拜送（兔年或屬兔凶）,大吉
19,第十九籤,中籤,辰宮,"急水灘頭放艇時
狂風作浪欲何為
待他浪靜風停後
穩載船歸過不危","急水灘頭放船歸
風波作波欲何為
若要安然求穩靜
等待浪靜過此危",此卦船行急灘之象。凡事守舊待時也。,急水下船。險處待時。若問營謀。盡(不)可施為。,揚雄仕新為莽大夫,朱子作《通鑑綱目》，始書「莽大夫揚雄死」，雄之人品、著作，遂皆為儒者所輕。有詩詠揚雄道：才高依馬算文豪，一落塵污便失操。贏得頭銜三字在，千秋筆伐總難逃。揚雄原與王莽同學，後投靠篡漢的王莽為官，被稱為莽大夫，經過『假符命封及賣餅兒•驚連坐投落校書閣』（詳見後漢演藝第一回）事件後，更是奉承王莽，導致歷史評價很差。,作福,作福,未成,未成,不就,虛驚,至,吉,損,難,和（勿興）,守舊,難尋,祈福,吉
20,第二十籤,中籤,辰宮,"當春久雨喜初晴
玉兔金烏漸漸明
舊事已成新事遂
看看一跳入蓬瀛","當春久雨喜開晴
玉兔金烏漸漸明
舊事消散新事遂
看看一跳遇龍門",此卦久雨初明之象。凡事遂意也。,神佛護持。有災無危。途生平安。到底榮歸。,蘇武援官典屬國,蘇武遭到匈奴羈留牧羊十九年後回到長安，朝廷為表彰他的堅貞不屈，又因其熟悉西域一帶事物，任命至『典屬國』，掌管民族事務。,中平,祈福,未遇,待時,隨意,女,阻,阻,阻,遲,和,吉,見,禳星,吉
21,第二十一籤,上籤,辰宮,"陰陽道合總由天
女嫁男婚豈偶然
但看龍蛇堪運動
熊羆叶夢喜團圓","陰陽道合總由天
女嫁男婚喜偎然
但見龍蛇相會合
熊羆入夢樂團圓",此卦陰陽道合之象。凡事和大吉也。,謀望從心。婚姻孕男。資財進益。更利田蠶。,邵康節定陰陽,相傳有一天，邵康節進入梅花園賞花時，偶然見兩隻麻雀在枝頭上爭吵，後又見此二雀忽然爭枝墜地，邵康節看到此種現像，覺而怪之，即運用其心易神數，認為不動不占，不因事不占，今見二雀無故爭枝墜地，怪哉？因覺有事而占之，隨後向園主說：明日當會有一鄰女來攀折梅花，請勿叱責她，恐鄰女驚恐自梅樹跌下，有傷足之虞，事後果然應驗；後之學者因認為此卦例特殊，竟能斷出與卦題不相干之事情來，為別種占法所不及，才將此種斷法命名為『梅花易數』。邵康節（邵雍）與同時的周敦頤、程顥、程頤、張載並稱北宋五子。,安,利,有,成,合,男,至,興,興,見,有理,昌盛,得見,遇良方,大吉
22,第二十二籤,上籤,巳宮,"四郊田畝皆枯竭
久旱俄然三日霖
花果草芽俱潤澤
始知一兩值千金","旱時田裏皆枯槁
謝天甘雨落淋淋
花果草木皆潤澤
始知一雨值千金",此卦旱逢甘雨之象。凡事難中有救也。,田蠶倍熟。命運漸來。病遇良藥。行人不便。,王孝先為民祈禱,宋。王曾。字孝先。益都人。自少穎悟。善為文辭。咸平中三元及第。累官石僕。財乎章事。封沂國公。諡文正。居官之日。偶偵乾旱。輒竭誠禱。必沛自霖。乃止。其在明廷。正色危言。進退士人。莫有知者。嘗曰。夫執政者。恩欲歸己。怨欲歸誰。范仲淹深服其言。,祈保,安,頗有,遲,合,女,有阻,利,利,難,虧,守舊,西方(註：北方屬水。西方屬金）,設送（必癒）,安吉
23,第二十三籤,中籤,巳宮,"欲攀仙桂蟾宮去
豈慮天門不放開
謀望一般音信好
高人自送嶺頭來","欲扳仙桂入蟾宮
普開天門不任君
忽遇一般音信好
人人皆笑嶺頂花",此卦手扳仙桂之象。凡事必有貴人也。,商賈利益。行戴有(無)危。病安訟遂。盡可施為。,孫策以璽借袁兵,卻說袁術大宴將士於壽春。人報孫策征廬江太守陸康，得勝而回。術喚策至，策拜於堂下。問勞已畢，便令侍坐飲宴。原來孫策自父喪之後，退居江南，禮賢下士；後因陶謙與策母舅丹陽太守吳景不和，策乃移母並家屬居於曲阿，自己卻投袁術。術甚愛之，常歎曰：「使術有子如孫郎，死復何恨！」因使為懷義校尉，引兵攻涇縣大帥祖郎得勝。術見策勇，復使攻陸康，今又得勝而回。當日筵散，策歸營寨。見術席間相待之禮甚傲，心中鬱悶，乃步月於中庭。因思父孫堅如此英雄，我今淪落至此，不覺放聲大哭。忽見一人自外而入，大笑曰：「伯符何故如此？尊父在日，多曾用我。君今有不決之事，何不問我，乃自哭耶！」策視之，乃丹陽故鄣人，姓朱，名治，字君理，孫堅舊從事官也。策收淚而延之坐曰：「策所哭者，恨不能繼父之志耳。」治曰：「君何不告袁公路，借兵往江東，假名救吳景，實圖大業，而乃久困於人之下乎？」正商議間，一人忽入曰：「公等所謀，吾已知之。吾手下有精壯百人，暫助伯符一馬之力。」策視其人，乃袁術謀士，汝南細陽人，姓呂，名范，字子衡。策大喜，延坐共議。呂范曰：「只恐袁公路不肯借兵。」策曰：「吾有亡父留下傳國玉璽，以為質當。」范曰：「公路款得此久矣！以此相質，必肯發兵。」三人計議已定。次日，策入見袁術，哭拜曰：「父仇不能報，今母舅吳景，又為揚州刺史劉繇所逼；策老母家小，皆在曲阿，必將被害。策敢借雄兵數千，渡江救難省親。恐明公不信，有亡父遺下玉璽，權為質當。」術聞有玉璽，取而視之，大喜曰：「吾非要你玉璽，今且權留在此。我借兵三千、馬五百匹與你。平定之後，可速回來。你職位卑微，難掌大權。我表你為折沖校尉、殄寇將軍，克日領兵便行。」策拜謝，遂引軍馬，帶領朱治、呂范、舊將程普、黃蓋、韓當等，擇日起兵。行至歷陽，見一軍到。當先一人，姿質風流，儀容秀麗，見了孫策，下馬便拜。策視其人，乃廬江舒城人，姓周，名瑜，字公瑾。原來孫堅討董卓之時，移家舒城，瑜與孫策同年，交情甚密，因結為昆仲。策長瑜兩月，瑜以兄事策。瑜叔周尚，為丹陽太守；今往省親，到此與策相遇。策見瑜大喜，訴以衷情。瑜曰：「某願施犬馬之力，共圖大事。」策喜曰：「吾得公瑾，大事諧矣！」便令與朱治、呂范等相見。瑜謂策曰：「吾兄欲濟大事，亦知江東有二張乎？」策曰：「何為二張？」瑜曰：「一人乃彭城張昭，字子布；一人乃廣陵張臘，字子綱。二人皆有經天緯地之才，因避亂隱居於此。吾兄何不聘之？」策喜，即便令人繼禮往聘，俱辭不至。策乃親到其家，與語大悅，力聘之，二人許允。策遂拜張昭為長史，兼撫軍中郎將；張臘為參謀正議校尉：商議攻擊劉繇。《中間省略》孫策分撥將士，守把各處隘口，一面寫表申奏朝廷；一面結交曹操，一面使人致書與袁術取玉璽。卻說袁術暗有稱帝之心，乃回書推托不還；急聚長史楊大將，都督張勳、紀靈、橋蕤，上將雷薄、陳芬等三十餘人商議，曰：「孫策借我軍馬起事，今日盡得江東地面；乃不思根本，而反來索璽，殊為無禮。當以何策圖之？」長史楊大將曰：「孫策據長江之險，兵精糧廣，未可圖也。今當先伐劉備，以報前日無故相攻之恨，然後圖取孫策未遲。某獻一計，使備即日就擒。」正是：不去江東圖虎豹，卻來徐郡斗蛟龍。不知其計若何，且聽下文分解。《三國演義•第十五回•太史慈酣鬥小霸王•孫伯符大戰嚴白虎》,欠安,作福,遂意,合,阻,作福,有危,不利,不利,難,虧,欠吉,,安,舊吉
